AMT_INCOME_TOTAL,DAYS_EMPLOYED,window,FLAG_OWN_REALTY,CODE_GENDER_M,NAME_INCOME_TYPE_Pensioner,NAME_FAMILY_STATUS_Widow,Occupation_Drivers,Occupation_Low-skill Laborers,Occupation_Sales staff,Age,target
427500.0,4542,15.0,1,1.0,0.0,0.0,0.0,0.0,0.0,32,0
427500.0,4542,14.0,1,1.0,0.0,0.0,0.0,0.0,0.0,32,0
112500.0,1134,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,58,0
270000.0,3051,4.0,1,0.0,0.0,0.0,0.0,0.0,1.0,52,0
270000.0,3051,4.0,1,0.0,0.0,0.0,0.0,0.0,1.0,52,0
270000.0,3051,26.0,1,0.0,0.0,0.0,0.0,0.0,1.0,52,0
270000.0,3051,38.0,1,0.0,0.0,0.0,0.0,0.0,1.0,52,0
283500.0,365243,16.0,1,0.0,1.0,0.0,0.0,0.0,0.0,61,0
283500.0,365243,16.0,1,0.0,1.0,0.0,0.0,0.0,0.0,61,0
283500.0,365243,16.0,1,0.0,1.0,0.0,0.0,0.0,0.0,61,0
270000.0,769,5.0,1,1.0,0.0,0.0,0.0,0.0,0.0,46,0
270000.0,769,42.0,1,1.0,0.0,0.0,0.0,0.0,0.0,46,0
135000.0,1194,7.0,1,1.0,0.0,0.0,0.0,0.0,0.0,48,0
135000.0,1194,8.0,1,1.0,0.0,0.0,0.0,0.0,0.0,48,0
135000.0,1194,8.0,1,1.0,0.0,0.0,0.0,0.0,0.0,48,0
135000.0,1194,8.0,1,1.0,0.0,0.0,0.0,0.0,0.0,48,0
135000.0,1194,4.0,1,1.0,0.0,0.0,0.0,0.0,0.0,48,0
135000.0,1194,3.0,1,1.0,0.0,0.0,0.0,0.0,0.0,48,0
130500.0,1103,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,29,0
130500.0,1103,29.0,0,0.0,0.0,0.0,0.0,0.0,0.0,29,0
157500.0,1469,31.0,1,0.0,0.0,0.0,0.0,0.0,0.0,27,0
157500.0,1469,19.0,1,0.0,0.0,0.0,0.0,0.0,0.0,27,0
157500.0,1469,34.0,1,0.0,0.0,0.0,0.0,0.0,0.0,27,0
112500.0,1620,44.0,1,0.0,0.0,0.0,0.0,0.0,0.0,30,0
112500.0,1620,16.0,1,0.0,0.0,0.0,0.0,0.0,0.0,30,0
270000.0,1163,16.0,1,1.0,0.0,0.0,0.0,0.0,0.0,34,0
270000.0,1163,16.0,1,1.0,0.0,0.0,0.0,0.0,0.0,34,0
405000.0,2016,30.0,1,1.0,0.0,0.0,0.0,0.0,0.0,32,0
405000.0,2016,13.0,1,1.0,0.0,0.0,0.0,0.0,0.0,32,0
405000.0,2016,55.0,1,1.0,0.0,0.0,0.0,0.0,0.0,32,0
405000.0,2016,4.0,1,1.0,0.0,0.0,0.0,0.0,0.0,32,0
405000.0,2016,8.0,1,1.0,0.0,0.0,0.0,0.0,0.0,32,0
405000.0,2016,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,32,0
112500.0,4450,32.0,1,1.0,0.0,0.0,1.0,0.0,0.0,56,0
112500.0,4450,11.0,1,1.0,0.0,0.0,1.0,0.0,0.0,56,0
112500.0,4450,32.0,1,1.0,0.0,0.0,1.0,0.0,0.0,56,0
112500.0,4450,11.0,1,1.0,0.0,0.0,1.0,0.0,0.0,56,0
112500.0,4450,25.0,1,1.0,0.0,0.0,1.0,0.0,0.0,56,0
112500.0,4450,11.0,1,1.0,0.0,0.0,1.0,0.0,0.0,56,0
112500.0,4450,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,56,0
112500.0,4450,15.0,1,1.0,0.0,0.0,1.0,0.0,0.0,56,0
135000.0,3173,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43,0
135000.0,3173,28.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43,0
135000.0,3173,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43,0
135000.0,3173,27.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43,0
135000.0,3173,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43,0
135000.0,3173,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43,0
135000.0,3173,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43,0
135000.0,3173,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43,0
135000.0,3173,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43,0
135000.0,3173,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43,0
135000.0,3173,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43,0
135000.0,3173,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43,0
135000.0,3173,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43,0
135000.0,3173,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43,0
135000.0,3173,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43,0
211500.0,7099,24.0,1,0.0,0.0,0.0,0.0,0.0,0.0,44,0
211500.0,7099,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,44,0
